wy,day_10,day_50,day_90
1977,202,238,258
1978,138,159,200
1979,124,159,193
1980,127,164,192
1981,128,163,203
1982,113,167,205
1983,104,161,203
1984,104,144,179
1985,134,156,172
1986,113,133,176
1987,113,142,167
1988,106,125,147
1989,139,175,186
1990,121,146,158
1991,157,171,171
1992,134,157,198
1993,121,170,198
1994,124,140,182
1995,115,147,188
1996,92,139,173
1997,80,143,178
1998,104,147,203
1999,112,153,190
2000,115,127,167
2001,112,143,166
2002,82,120,171
2003,98,129,169
2004,85,121,177
2005,96,147,195
2006,89,158,200
2007,94,149,164
2008,107,130,165
2009,133,161,191
2010,117,141,197
2011,80,118,194
2012,118,144,188
2013,87,120,158
2014,135,141,157
2015,83,119,161
2016,103,121,181
2017,95,158,215
2018,107,144,187
2019,92,135,185
2020,77,122,143
2021,153,160,183
2022,84,110,168
2023,105,160,194
2024,102,151,181
2025,113,149,190
